Country,Year,KWH,CO2
Mauritius,2008,24942104629.740005,5991244085.551394
Mauritius,2009,23711077631.6,5730550022.522321
Mauritius,2010,25306420204.320004,6158023998.863082
Mauritius,2011,26004673073.08,6386383262.261531
Mauritius,2012,26161805222.640003,6480284800.084687
Mauritius,2013,27199504490.76,6735618842.335739
Mauritius,2014,26933692900.24,6718197010.40601
Mayotte,1990,684701138.868,230170171.69776
Mayotte,1991,710262266.428,236592362.11461997
Mayotte,1992,741214286.788,244404356.3207
Mayotte,1993,772054195.948,252167497.76612002
Mayotte,1994,806816829.268,260965650.85056
Mayotte,1995,848079965.388,271343649.15522003
Mayotte,1996,872256979.9280001,277323450.18488
Mayotte,1997,911690339.208,287347465.41741997
Mayotte,1998,955754256.948,298524098.09472
Mayotte,1999,1026600906.328,316203419.47518003
Mayotte,2000,1037017551.7279999,306431019.32215995
Mayotte,2001,1113400926.168,325445777.59617996
Mayotte,2002,1177087028.4474,340949387.01063
Mayotte,2003,1249533070.4842,359072139.86189
Mayotte,2004,1319439469.1204,376306051.22190005
Mayotte,2005,1388348145.8112,389604884.9265999
Mayotte,2006,1465220913.2859998,409046749.86845994
Mayotte,2007,1590212151.52916,439616961.01146305
Mayotte,2008,1739104445.0625203,476857493.28374606
Mayotte,2009,1870744635.3266,509557767.3295925
Mayotte,2010,1853488217.86348,503171251.0949515
Mayotte,2011,1835750347.1082604,496968391.121108
Mayotte,2012,1889696326.822,510436351.2871
Mayotte,2013,1957854792.7,527004537.8090999
Mayotte,2014,2028585285.5779998,544537800.6168001
Mexico,1990,127983602306947.36,35972390139468.54
Mexico,1991,93424918209780.0,27059220556370.453
Mexico,1992,93449047348681.83,27065477750829.594
Mexico,1993,137011176628108.75,38608213702426.18
Mexico,1994,97426530753759.97,28355621192879.336
Mexico,1995,99197128184641.02,28784070978286.098
Mexico,1996,93306016897761.7,27001357424561.426
Mexico,1997,110543192337196.8,30377574649383.465
Mexico,1998,109424032075479.86,30018892718518.113
Mexico,1999,77178669029975.38,20807581828606.645
Mexico,2000,77202123157891.61,20812783866306.094
Mexico,2001,48043536485629.45,13404971333554.611
Mexico,2002,42094655330703.055,12188658502973.188
Mexico,2003,30236241888587.086,8560259852925.964
Mexico,2004,30276743821853.465,8566849672197.679
Mexico,2005,36826415873701.44,10434560086052.623
Mexico,2006,24721550134581.695,6973819828446.311
Mexico,2007,33949699687971.523,9680986880834.967
Mexico,2008,33804319830138.316,9529380385101.371
Mexico,2009,21910578256280.5,6163079079490.543
Mexico,2010,22029280710028.03,6195913480769.777
Mexico,2011,19271491411520.17,5404560562364.378
Mexico,2012,19225153636225.832,5386024325294.494
Mexico,2013,19274483728673.703,5399010813113.854
Mexico,2014,57420351538197.664,17491342171258.57
Micronesia (Fed. States of),1992,553048348.8000001,141592556.566592
Micronesia (Fed. States of),1993,556170571.9200001,142460223.58339202
Micronesia (Fed. States of),1994,569115025.9200001,145854476.154792
Micronesia (Fed. States of),1995,596365045.32,152755120.076192
Micronesia (Fed. States of),1996,598487268.44,153302787.092992
Micronesia (Fed. States of),1997,611031522.44,156610989.664392
